,ds,yhat,yhat_lower,yhat_upper
734,2023-12-06,3597.8674518596313,3487.6435377318494,3712.390336700047
735,2023-12-07,3596.9159898820735,3490.3913502431747,3702.9081500883567
736,2023-12-08,3592.9779839246894,3489.0178713358914,3703.688879818
737,2023-12-11,3581.190287343885,3470.9016764723597,3693.139931750079
738,2023-12-12,3575.924397648523,3469.3839520531774,3681.8555746705083
739,2023-12-13,3575.58745897179,3472.2494969253094,3692.6705041474825
740,2023-12-14,3571.6245881621157,3456.360271263084,3675.2519705133936
741,2023-12-15,3565.5571879608115,3450.6429436079156,3667.3075169249173
742,2023-12-18,3553.106304083655,3442.4249072285324,3660.3129745887495
743,2023-12-19,3549.575859128581,3436.228599829164,3653.193350808196
744,2023-12-20,3551.9273225421407,3441.566928114407,3661.464143307003
745,2023-12-21,3551.5614633052614,3435.0301845627723,3657.528421815245
746,2023-12-22,3549.937023726652,3428.6562510752574,3655.1914998065695
747,2023-12-25,3555.0208707182164,3453.102056730117,3657.030273980331
748,2023-12-26,3558.380075335988,3447.104265148971,3664.3847696125727
749,2023-12-27,3567.939607825824,3460.002425608725,3675.6761252568317
750,2023-12-28,3574.968250478187,3473.2259861009748,3693.2415051914572
751,2023-12-29,3580.790332625181,3470.2586008720878,3690.453386605806
752,2024-01-01,3607.2061523103057,3501.6781063837707,3718.655152735443
753,2024-01-02,3616.9279119415323,3508.68951658487,3725.2976513688363
754,2024-01-03,3632.292653034613,3522.292022135984,3735.986074957755
755,2024-01-04,3644.477588116383,3535.074511970691,3754.319921111046
756,2024-01-05,3654.730309103221,3543.8864391492953,3762.7674409265264
757,2024-01-08,3689.564541163923,3572.5329491800153,3800.018608936654
758,2024-01-09,3700.381906125034,3588.3436791255067,3809.867664533959
759,2024-01-10,3715.987844183099,3607.881246566607,3829.711837049816
760,2024-01-11,3727.5854011260453,3613.3145504219933,3838.61234538177
761,2024-01-12,3736.463466696127,3620.2536077039,3852.1114754428654
762,2024-01-15,3763.061626429208,3652.2216097595187,3877.4196914804074
763,2024-01-16,3770.019266586854,3655.6082411253246,3879.398738926852
764,2024-01-17,3781.3548909387864,3669.8894452238414,3881.9316224195604
765,2024-01-18,3788.3655157053227,3678.168954291483,3895.2100186686635
766,2024-01-19,3792.4345661456005,3681.889589831892,3903.8364692029136
767,2024-01-22,3804.177362536389,3696.356104381129,3926.76293442442
768,2024-01-23,3806.3129881845434,3693.3617360270223,3914.885026862075
769,2024-01-24,3813.006810101454,3699.7618714922587,3932.428577575877
770,2024-01-25,3815.60934287723,3702.785319771083,3941.316508912667
771,2024-01-26,3815.545568607399,3704.153366117051,3935.5194919423802
772,2024-01-29,3816.7683712928065,3693.277074521251,3927.0186299836273
773,2024-01-30,3816.0364811177187,3693.377067463744,3929.425207614375
774,2024-01-31,3820.159340055477,3703.7212520166013,3936.063167849312
775,2024-02-01,3820.457950660522,3700.5098114619054,3938.325366167135
776,2024-02-02,3818.319200093906,3704.8722501211932,3933.419363526694
777,2024-02-05,3814.217127060653,3694.9678091053993,3932.8908759547303
778,2024-02-06,3811.8348896633697,3690.7599179532062,3926.1176471546755
779,2024-02-07,3814.280245770842,3688.1008371962866,3925.638760236889
780,2024-02-08,3812.8236596799834,3688.247470689686,3930.429975868899
781,2024-02-09,3808.8062235584775,3681.7425757573383,3928.277447216661
782,2024-02-12,3797.974514119176,3673.3574798715176,3915.8962906371776
783,2024-02-13,3792.91131578726,3668.503985569606,3916.273056683281
784,2024-02-14,3792.445710617672,3668.380262599968,3908.494778532428
785,2024-02-15,3787.8579062647264,3668.592023182983,3914.023551399162
786,2024-02-16,3780.5098249896646,3660.9661260725543,3908.90986407334
787,2024-02-19,3758.8548429144153,3624.638267177529,3879.072096579922
788,2024-02-20,3750.0748234809403,3632.7032760536435,3874.1497668873326
789,2024-02-21,3745.940759143441,3621.260507257951,3866.6829310889934
790,2024-02-22,3737.8026987202725,3610.5095947303294,3855.071135105763
791,2024-02-23,3727.095335067391,3600.4304567872027,3858.9821307464026
792,2024-02-26,3697.2393840352725,3575.193355386625,3822.264447186194
793,2024-02-27,3686.582415621844,3544.187836810214,3814.2682627738923
794,2024-02-28,3681.1023739371876,3552.805197349365,3804.218845934198
795,2024-02-29,3672.1994693099514,3543.3756031457083,3800.9045137609683
796,2024-03-01,3661.3488356581524,3530.066217524964,3785.818767791745
797,2024-03-04,3635.0275708048516,3499.3324502300716,3759.079300180138
798,2024-03-05,3626.8869718253973,3489.763754225536,3758.0771681885926
799,2024-03-06,3624.5686115405015,3491.067913264059,3755.3249270849506
800,2024-03-07,3619.439330358142,3483.040791513537,3747.7904363749935
801,2024-03-08,3612.9288093094456,3479.7702659094834,3738.7753113821773
802,2024-03-11,3602.410869378799,3474.2124433470276,3736.2527874568896
803,2024-03-12,3600.2154706555416,3452.4762091867783,3730.6177075485266
804,2024-03-13,3604.0388204618803,3465.9024722199524,3743.2629487249465
805,2024-03-14,3605.1558297291913,3462.0697910760855,3740.461029502657
806,2024-03-15,3604.902446292623,3469.1605543913342,3743.872134342874
807,2024-03-18,3612.2963558048586,3469.037738610977,3751.753081871141
808,2024-03-19,3615.4938391647297,3468.7696050750246,3752.4745860303688
809,2024-03-20,3624.2899947712995,3485.6107524051517,3767.820787871378
810,2024-03-21,3629.8927543099644,3482.244246851502,3780.657464131675
811,2024-03-22,3633.5806256395103,3490.960322815495,3767.3026150005803
812,2024-03-25,3649.1175483718707,3502.053556862145,3793.7437858708436
813,2024-03-26,3653.7215509348307,3510.5868561899583,3797.930625629189
814,2024-03-27,3663.2589170959777,3517.0998987300386,3808.537937016679
815,2024-03-28,3668.947787398219,3519.154257408996,3808.1367783921064
816,2024-03-29,3672.087547900654,3516.352561839517,3821.967309443527
817,2024-04-01,3682.526022640012,3527.9833423977257,3832.7591776645595
818,2024-04-02,3684.436332780988,3530.323886857831,3832.3163963156085
819,2024-04-03,3690.877265121492,3537.5380480443987,3842.698063192408
820,2024-04-04,3693.1302696226153,3542.242599002189,3841.750263192843
821,2024-04-05,3692.5605863375117,3525.408902388951,3854.445575432538
822,2024-04-08,3690.897852890458,3521.0638782669257,3854.6485616484406
823,2024-04-09,3688.6675874302364,3525.0511836389796,3852.1289417973594
824,2024-04-10,3691.0166239831988,3523.820581712445,3857.006308047283
